branchrule,cpu_process_time,difficulty_score,dualbound,error_message,file,gap,nlps,nnodes,nsols,obj,path,profile_class,solving_time,status,wall_time
BaselinePseudoCostBranchrule,5.000202430000002,36.006169548749575,1402.3185108583248,,test_800r_1600c_0.05d_instance_388.mps,0.031149477671045547,1644,1411,100,1446.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_1600c_0.05d_instance_388.mps,hard_timeout_small_gap,5.000082,timelimit,5.000138521194458
BaselinePseudoCostBranchrule,5.000179308,27.134230852781407,1659.0195905639914,,test_800r_1600c_0.05d_instance_494.mps,0.03555136405348771,1584,40,100,1718.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_1600c_0.05d_instance_494.mps,hard_timeout_small_gap,5.000057,timelimit,5.000096559524536
BaselinePseudoCostBranchrule,2.404264063999989,24.634150503394668,110.0,,test_800r_1600c_0.25d_instance_19.mps,0.0,493,365,100,110.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_1600c_0.25d_instance_19.mps,hard,2.404202,optimal,2.404245615005493
BaselinePseudoCostBranchrule,2.0862457489999997,24.263213295195108,99.0,,test_800r_1600c_0.25d_instance_32.mps,0.0,518,347,100,99.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_1600c_0.25d_instance_32.mps,hard,2.086181,optimal,2.086226224899292
BaselinePseudoCostBranchrule,5.000122557000012,33.143974687611475,933.1988323032933,,test_800r_3200c_0.05d_instance_194.mps,0.06622508039810861,909,545,100,995.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_3200c_0.05d_instance_194.mps,hard_timeout,5.000058,timelimit,5.0000975131988525
BaselinePseudoCostBranchrule,5.000209405999996,26.78207405494794,939.8079770753675,,test_800r_3200c_0.05d_instance_211.mps,0.11299331939604987,464,52,100,1046.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_3200c_0.05d_instance_211.mps,hard_timeout,5.000097,timelimit,5.0001397132873535
BaselinePseudoCostBranchrule,0.4782101609999927,13.872345222887322,49.00000000000006,,test_800r_3200c_0.25d_instance_398.mps,0.0,78,27,63,49.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_3200c_0.25d_instance_398.mps,medium,0.47815599999999997,optimal,0.4782116413116455
BaselinePseudoCostBranchrule,0.0032539420000006203,2.4356835355382946,45657.0,,test_800r_400c_0.01d_instance_228.mps,0.0,1,1,2,45657.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_400c_0.01d_instance_228.mps,too_easy,0.003228,optimal,0.0032465457916259766
BaselinePseudoCostBranchrule,0.1220103959999932,16.651917466349467,50475.0,,test_800r_400c_0.01d_instance_304.mps,0.0,126,97,100,50475.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_400c_0.01d_instance_304.mps,medium,0.12199,optimal,0.1220238208770752
BaselinePseudoCostBranchrule,0.03350265000000263,3.7775762479724886,54029.0,,test_800r_400c_0.01d_instance_412.mps,0.0,6,1,12,54029.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_400c_0.01d_instance_412.mps,easy,0.033481,optimal,0.03350472450256348
BaselinePseudoCostBranchrule,5.000181053999995,32.63945493637885,6160.810846662547,,test_800r_400c_0.05d_instance_387.mps,0.09109014499957613,953,424,100,6722.0,/DATA/disk2/chenyitian/AutoConfig/jiakaiwen/TspEvolve/alphaevolve_mvp/data/setcover/test_800r_400c_0.05d_instance_387.mps,hard_timeout,5.000039,timelimit,5.000076055526733
